genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label
['new orleans jazz'],0.799,0.291,0.727,128.594,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.615,0.364,0.894,182.977,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.581,0.137,0.361,109.721,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.748,0.361,0.876,117.609,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.632,0.264,0.829,158.244,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.664,0.176,0.54,121.929,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.595,0.189,0.338,83.579,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.622,0.1,0.452,119.484,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.815,0.371,0.947,106.508,1,0.0,,Mainstream / Party
['new orleans jazz'],0.628,0.278,0.77,97.268,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.751,0.133,0.765,147.306,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.692,0.0833,0.492,78.869,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.729,0.277,0.746,155.109,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.65,0.297,0.871,99.256,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.796,0.344,0.889,94.343,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.595,0.258,0.571,168.996,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.686,0.271,0.841,142.565,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.562,0.173,0.713,184.848,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.807,0.349,0.962,107.181,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.794,0.426,0.92,108.781,1,0.0,,Mainstream / Party
['new orleans jazz'],0.819,0.371,0.947,106.524,1,0.0,,Mainstream / Party
['new orleans jazz'],0.621,0.278,0.769,95.459,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.804,0.312,0.716,117.446,2,0.0,,Happy / Dance
['new orleans jazz'],0.749,0.35,0.738,100.835,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.595,0.258,0.571,168.996,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.579,0.295,0.767,176.628,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.593,0.343,0.769,172.535,2,0.0,,Happy / Dance
['new orleans jazz'],0.664,0.151,0.608,121.883,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.61,0.39,0.528,102.235,0,0.0,,Instrumental / Acoustic
